"","TCGA-HU-A4GX-11A-11R-A252-13","TCGA-BR-7704-11A-01R-2055-13","TCGA-IN-AB1X-11A-21R-A39F-13","TCGA-CG-5733-11A-01R-1602-13","TCGA-BR-7716-11A-01R-2055-13","TCGA-CG-5730-11A-01R-1602-13","TCGA-HU-A4GY-11A-11R-A24L-13","TCGA-BR-8060-11A-01R-2343-13","TCGA-BR-6564-11A-01R-1884-13","TCGA-HU-A4GX-11X-11R-A360-13","TCGA-HU-A4G9-11A-11R-A360-13","TCGA-HU-A4GY-11X-11R-A360-13","TCGA-CG-5722-11A-02R-1602-13","TCGA-BR-6458-11A-01R-1802-13","TCGA-CG-5728-11A-01R-1602-13","TCGA-BR-6852-11A-01R-1884-13","TCGA-SW-A7EA-11A-11R-A353-13","TCGA-HU-A4GP-11A-21R-A252-13","TCGA-HU-A4G9-11X-11R-A24L-13","TCGA-CG-5730-01A-11R-1602-13","TCGA-BR-7704-01A-11R-2055-13","TCGA-HU-A4G9-01A-11R-A24L-13","TCGA-BR-8060-01A-11R-2343-13","TCGA-HU-A4GP-01A-11R-A252-13","TCGA-BR-6564-01A-12R-1884-13","TCGA-BR-7716-01A-21R-2055-13","TCGA-HU-A4GY-01A-21R-A24L-13","TCGA-CG-5722-01A-21R-1602-13","TCGA-SW-A7EA-01A-12R-A353-13","TCGA-CG-5733-01A-11R-1602-13","TCGA-CG-5728-01A-11R-1602-13","TCGA-BR-6458-01A-11R-1802-13","TCGA-HU-A4GX-01A-12R-A252-13","TCGA-IN-AB1X-01A-11R-A39F-13","TCGA-BR-6852-01A-11R-1884-13"
"hsa-mir-1302-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1302-9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1303","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","2","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"hsa-mir-1304","0","3","8","0","2","1","1","0","1","0","1","0","6","1","1","2","5","3","0","11","8","1","1","9","2","0","1","5","15","7","2","2","2","8","4"
"hsa-mir-1305","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","0","3","0","0","0"
"hsa-mir-1306","7","10","14","25","4","62","10","6","48","9","34","12","148","25","31","45","29","7","16","152","18","7","24","7","25","8","17","31","30","57","42","36","9","26","33"
"hsa-mir-1307","1099","504","3501","2272","485","4988","1333","1488","3151","1200","2524","1257","6770","2569","2322","7448","2134","1679","1854","11818","1735","3393","6242","2381","3076","3281","5413","6272","5546","8784","6945","5533","2760","8268","6833"
"hsa-mir-130a","177","148","225","136","26","324","177","227","529","167","780","180","1266","226","340","336","521","165","316","385","64","6","122","36","801","49","704","816","345","323","371","527","364","190","173"
"hsa-mir-130b","7","15","17","89","12","132","6","77","163","4","11","2","245","140","156","208","140","6","10","503","140","20","120","40","87","31","92","159","174","132","154","192","85","92","82"
"hsa-mir-132","216","476","213","226","178","594","162","199","971","220","1191","139","898","195","262","610","486","218","358","291","491","61","710","62","928","170","683","621","706","464","681","761","225","592","812"
"hsa-mir-1321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1322","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","3","0","0","0"
"hsa-mir-1323","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"hsa-mir-1324","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-133a-1","1144","657","236","45","225","441","1297","315","1763","881","2452","1271","3350","81","130","173","1571","1281","1705","26","16","0","98","13","1262","23","31","136","18","21","366","83","27","50","20"
"hsa-mir-133a-2","1072","587","220","45","172","382","1285","281","1483","846","2386","1215","3002","63","97","122","1447","1265","1545","18","17","5","130","7","1132","12","24","107","19","18","295","74","15","35","19"
"hsa-mir-133b","240","268","68","17","103","104","176","114","841","120","405","158","1187","26","35","83","369","223","223","7","8","1","35","4","516","6","7","41","2","6","198","30","10","10","4"
"hsa-mir-134","363","606","542","410","207","1019","300","433","1246","335","787","207","1890","563","574","1195","628","372","720","1572","764","44","326","115","2149","221","1198","1203","1583","2257","3824","2718","196","403","1128"
"hsa-mir-1343","0","2","0","1","0","3","1","2","0","1","5","0","4","2","3","3","1","0","1","8","0","0","2","0","2","1","1","1","0","2","7","14","1","1","4"
"hsa-mir-135a-1","1","3","0","4","2","5","0","5","6","2","6","4","74","20","14","8","12","1","3","27","2","0","2","0","8","0","6","3","2","0","3","1","5","3","0"
"hsa-mir-135a-2","0","1","0","1","3","8","3","5","10","2","7","1","56","25","12","10","17","0","1","30","5","0","1","2","3","0","6","2","0","0","2","4","2","3","0"
"hsa-mir-135b","0","2","31","64","15","74","0","1","31","0","0","0","148","67","33","67","30","0","0","1242","344","10","2","7","264","16","305","329","608","357","242","258","204","1743","213"
"hsa-mir-136","38","75","103","55","14","310","15","248","164","37","284","38","517","131","160","200","162","17","135","134","38","7","77","13","187","10","225","258","289","263","247","250","46","101","140"
"hsa-mir-137","4","3","0","0","0","2","12","2","11","12","61","16","19","3","3","0","9","16","13","0","60","0","43","0","3","0","3","1","3","0","3","2","0","2","0"
"hsa-mir-138-1","2","1","0","2","0","9","3","0","15","4","7","3","20","27","7","9","3","2","7","3","2","0","0","0","2","1","5","7","1","0","2","5","2","2","6"
"hsa-mir-138-2","2","1","0","2","0","3","1","0","5","0","3","0","3","5","6","13","3","2","2","4","2","0","0","1","2","0","0","8","0","0","3","2","0","4","6"
"hsa-mir-139","553","703","1476","248","320","662","1133","294","862","900","2667","1270","2134","220","272","184","1192","946","826","54","99","12","250","35","648","36","333","284","49","102","297","139","51","195","93"
"hsa-mir-140","5389","8244","10013","1674","2534","2351","6649","2431","7879","5431","15364","6509","5543","1655","2701","3779","8600","4980","5541","1823","4665","670","2517","705","7674","1721","6507","4840","4292","1802","4332","3830","1401","5103","3032"
"hsa-mir-141","12","469","2516","5758","1079","6509","12","3592","4833","6","46","18","14954","10540","6753","9979","5191","22","10","7343","3789","2240","2245","2561","4866","948","3721","8269","13951","4741","3159","5993","13576","10870","6790"
"hsa-mir-142","275","303","1413","16802","282","15210","273","6789","12604","224","586","164","44220","20239","45395","48653","3571","211","490","23452","4903","651","5245","966","9928","1543","22823","74175","4549","20691","22427","29532","10205","17998","41720"
"hsa-mir-143","2375229","4916458","1190639","162905","3723287","593259","3129098","1367920","2236472","2864025","7663168","3636307","3896800","187490","255430","357634","5848937","2885506","2885349","350369","1231673","31298","1077873","71676","4974443","647553","230728","735501","1526693","343200","2068796","602934","110301","472907","302270"
"hsa-mir-144","213","1165","3628","264","571","1686","259","2096","4132","160","237","209","1349","376","288","417","1728","183","175","182","189","112","355","104","88","34","138","126","292","242","97","153","179","672","85"
"hsa-mir-145","88325","47606","25678","12766","15802","67273","86813","35011","157636","62439","183119","73082","582731","16928","22084","24774","137951","107392","124888","11666","3908","684","11884","3136","122553","2408","8483","33643","8407","11435","83469","22059","3978","7819","9577"
"hsa-mir-1468","11","25","18","16","15","36","50","30","42","23","44","33","124","11","22","18","80","23","28","12","35","5","225","3","31","4","28","14","6","20","18","13","13","17","15"
"hsa-mir-1469","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-146a","56","210","171","1863","542","307","94","161","1068","63","62","62","3606","3053","2456","2155","669","43","25","568","1760","220","307","90","667","148","1345","1279","227","639","1905","840","525","3464","774"
"hsa-mir-146b","500","214","995","958","335","762","321","185","1192","482","355","313","1632","1173","1204","1811","1535","163","124","1136","2409","497","1412","386","2445","994","10520","2572","6758","3297","2499","4145","1850","8458","5479"
"hsa-mir-1470","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1471","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-147a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"hsa-mir-147b","0","3","1","19","1","34","0","6","28","0","0","0","50","30","40","8","4","1","0","8","2","3","2","4","2","1","14","9","41","29","57","7","23","141","143"
"hsa-mir-148a","18296","41920","61293","525423","75178","452216","16701","434744","382889","14289","38317","9831","1340347","809244","1123405","1843192","598934","16912","29518","153470","184229","30469","192270","28588","127799","39422","184744","416357","48799","94645","176235","260485","130839","151594","365497"
"hsa-mir-148b","103","178","274","574","139","673","168","404","680","132","632","141","1990","776","759","1957","841","91","199","812","370","143","767","74","780","184","410","904","898","822","602","1013","319","1301","968"
"hsa-mir-149","153","69","247","111","8","109","102","121","663","150","221","75","1106","83","71","36","234","134","167","155","38","3","10","3","183","14","137","72","70","69","138","95","27","92","40"
"hsa-mir-150","488","1156","1177","5026","533","4151","517","1775","6670","507","696","422","9968","3112","9584","4389","5578","398","307","3154","2956","96","707","343","5012","1237","10997","19469","899","3574","6049","6757","2113","5062","3391"
"hsa-mir-151a","3013","8206","6332","3807","5437","5020","4170","3879","8376","3516","7811","3892","11811","4062","3666","4873","10425","3472","3608","16893","19783","2960","8227","2460","12888","5412","7015","6745","20194","6410","8059","8870","3983","11755","7185"
"hsa-mir-151b","3","8","6","6","2","13","2","7","20","1","12","3","29","10","14","12","14","4","4","18","4","5","0","0","15","3","5","7","3","8","13","3","4","14","9"
"hsa-mir-152","683","1465","1061","282","823","663","837","735","1264","651","2822","662","2681","478","634","902","1843","689","1005","690","802","36","592","53","2687","302","721","968","2161","907","1348","1574","127","618","887"
"hsa-mir-153-1","0","3","0","30","3","40","0","23","26","0","1","0","97","71","62","22","13","1","1","3","2","1","12","3","16","1","10","15","7","9","15","12","7","20","5"
"hsa-mir-153-2","0","2","20","360","7","506","3","308","258","2","30","2","1650","674","588","727","237","8","31","212","46","29","193","29","163","9","72","178","48","305","155","111","237","712","116"
"hsa-mir-1537","0","0","0","0","0","2","0","0","1","0","0","0","10","1","0","1","0","0","0","2","1","1","1","0","0","0","1","3","0","6","2","2","0","4","2"
"hsa-mir-1538","1","0","1","0","0","0","0","1","3","0","1","0","4","2","0","2","0","0","1","2","0","0","0","0","0","0","1","1","1","3","3","1","0","2","0"
"hsa-mir-1539","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-154","14","16","21","13","1","41","9","22","67","9","31","9","76","25","21","36","41","6","23","24","12","4","15","6","54","1","80","46","68","46","70","59","7","11","29"
"hsa-mir-155","284","404","495","2450","1097","1767","225","646","5362","210","209","176","7738","3788","5103","7262","1660","182","125","1227","3498","181","721","276","3637","1008","5898","4860","3765","3380","2230","5370","3343","8308","9418"
"hsa-mir-1587","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-15a","125","143","462","303","93","409","321","347","666","105","441","317","746","457","401","500","492","185","130","466","938","286","679","192","371","137","1482","1107","1138","375","539","766","413","848","506"
"hsa-mir-15b","222","780","611","495","446","868","455","489","1450","217","298","454","1366","745","697","1186","751","181","230","886","1965","443","1745","269","1088","413","863","1285","1162","884","828","1635","548","972","798"
"hsa-mir-16-1","114","567","388","839","491","1286","183","718","1757","103","273","214","2425","1480","1330","2427","1195","84","102","1331","1120","196","919","185","1012","256","1655","2367","1223","1160","761","1649","620","1492","1283"
"hsa-mir-16-2","112","610","429","805","514","1355","186","772","1834","104","266","230","2554","1566","1441","2483","1222","89","108","1331","1193","190","904","200","981","204","1699","2305","1266","1232","837","1680","670","1470","1431"
"hsa-mir-17","957","879","2795","901","614","2017","1318","983","1812","936","3201","1387","2726","1119","1042","2598","2372","1036","1270","9220","5639","1558","4162","1341","1594","856","6218","3206","7856","3256","1792","2483","2205","4139","1949"
"hsa-mir-181a-1","532","685","1855","853","345","1190","861","602","1572","653","1393","763","1939","602","891","1142","1912","809","557","3083","1959","203","1063","413","2376","625","3690","2281","4682","1587","1877","5379","953","3874","1938"
"hsa-mir-181a-2","1246","1484","2827","1389","693","2263","2332","1366","4149","1174","1872","1728","4688","1257","1380","2125","3743","2581","1209","5098","2671","355","1391","577","5963","936","4596","4461","5752","2315","3001","9658","1160","4477","2339"
"hsa-mir-181b-1","100","146","329","170","71","209","147","96","322","125","253","131","438","112","186","265","309","173","93","1686","383","48","203","63","417","123","505","444","506","314","305","1894","168","725","421"
"hsa-mir-181b-2","99","123","315","162","76","156","145","95","299","123","234","134","361","116","149","181","301","167","82","1418","342","36","194","59","417","133","521","408","498","287","239","1607","154","732","389"
"hsa-mir-181c","190","318","226","105","91","162","315","254","398","220","922","277","634","116","113","266","586","267","354","254","539","49","247","49","697","88","480","383","718","159","314","243","64","353","262"
"hsa-mir-181d","57","92","40","10","33","41","135","26","62","86","299","100","102","15","17","17","115","87","94","90","165","7","56","14","139","26","144","71","153","32","41","47","14","52","51"
"hsa-mir-182","929","6538","14553","26446","7822","27112","1109","17168","39677","676","801","751","32865","36778","23333","53983","44368","681","927","72727","44657","20125","11040","8229","15668","11608","23990","46005","74824","30338","52736","35356","44330","173943","41075"
"hsa-mir-1825","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1827","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-183","145","2377","7445","7355","2985","10320","163","4174","9406","78","180","109","7989","9603","6324","11268","10901","157","180","34538","14417","6221","8627","2174","3501","7632","9349","20432","33971","15721","31868","14637","9638","56917","18311"
"hsa-mir-184","1","3","1","1","0","1","0","0","4","1","4","2","3","2","1","1","7","0","0","1","540","0","2","2","2","5","1","2","2","0","0","2","0","7","0"
"hsa-mir-185","44","126","318","91","63","174","41","147","187","78","279","76","195","145","153","119","292","42","51","291","261","60","192","49","254","121","302","197","524","197","225","232","134","613","227"
"hsa-mir-186","559","506","556","1001","268","1436","642","552","1574","594","1926","656","3656","1375","1431","2103","1589","619","863","989","692","201","636","203","1507","258","1219","1350","1398","1369","900","2173","467","1482","1297"
"hsa-mir-187","13","4","10","23","18","72","142","10","32","23","18","120","1315","13","18","12","208","164","15","9","31","0","78","0","28","4","2","13","2","1","16","5","3","14","4"
"hsa-mir-188","2","4","4","10","2","14","2","12","15","2","5","1","34","12","15","24","7","1","3","61","47","4","8","10","28","10","21","70","13","48","33","27","7","13","27"
"hsa-mir-18a","4","12","30","35","8","73","6","48","84","8","18","14","84","67","71","83","55","3","6","634","56","30","150","75","59","23","271","223","154","150","134","89","83","115","88"
