"","TCGA-HU-A4GH-11A-11R-A360-13","TCGA-CG-5721-11A-01R-1602-13","TCGA-IP-7968-11A-01R-2203-13","TCGA-HU-A4GN-11A-12R-A252-13","TCGA-HU-A4G3-11A-11R-A24L-13","TCGA-FP-7735-11A-01R-2055-13","TCGA-FP-7829-11A-01R-2055-13","TCGA-HU-8238-11A-01R-2343-13","TCGA-CG-5720-11A-01R-1602-13","TCGA-IN-7806-11A-01R-2055-13","TCGA-HU-A4HB-11A-11R-A252-13","TCGA-BR-7715-11A-01R-2055-13","TCGA-BR-7703-11A-01R-2055-13","TCGA-BR-6802-11A-01R-1884-13","TCGA-IN-AB1V-11A-11R-A415-13","TCGA-BR-7851-11A-01R-2203-13","TCGA-BR-7717-11A-01R-2055-13","TCGA-BR-6457-11A-01R-1802-13","TCGA-HU-A4GH-11X-11R-A24L-13","TCGA-CG-5734-11A-01R-1602-13","TCGA-IN-8462-11A-01R-2343-13","TCGA-BR-6453-11A-01R-1802-13","TCGA-IN-8663-11A-01R-2402-13","TCGA-CG-5725-11A-01R-1602-13","TCGA-HU-A4GC-11A-11R-A252-13","TCGA-BR-6454-11A-01R-1802-13","TCGA-CG-5720-01A-11R-1602-13","TCGA-FP-7735-01A-11R-2055-13","TCGA-HU-8238-01A-11R-2343-13","TCGA-BR-7703-01A-11R-2055-13","TCGA-IP-7968-01A-11R-2203-13","TCGA-CG-5725-01A-11R-1602-13","TCGA-HU-A4GN-01A-11R-A252-13","TCGA-HU-A4HB-01A-12R-A252-13","TCGA-BR-6453-01A-11R-1802-13","TCGA-BR-6802-01A-11R-1884-13","TCGA-IN-8462-01A-11R-2343-13","TCGA-BR-7715-01A-11R-2055-13","TCGA-IN-7806-01A-11R-2055-13","TCGA-HU-A4GH-01A-11R-A24L-13","TCGA-CG-5734-01A-11R-1602-13","TCGA-IN-AB1V-01A-21R-A415-13","TCGA-BR-7851-01A-11R-2203-13","TCGA-BR-6454-01A-11R-1802-13","TCGA-BR-6457-01A-21R-1802-13","TCGA-FP-7829-01A-11R-2055-13","TCGA-HU-A4G3-01A-11R-A24L-13","TCGA-CG-5721-01A-11R-1602-13","TCGA-HU-A4GC-01A-12R-A252-13","TCGA-IN-8663-01A-11R-2402-13","TCGA-BR-7717-01A-11R-2055-13"
"hsa-mir-203b","3","353","62","14","1","0","1","123","532","69","5","49","108","2228","231","43","54","238","5","296","181","311","289","83","0","701","1240","68","157","373","113","604","1273","480","380","1339","66","117","25","171","499","250","405","95","168","725","417","182","163","901","174"
"hsa-mir-204","28","318","18","23","9","87","40","22","185","8","11","65","61","382","33","7","36","60","28","174","4","73","29","171","14","78","20","59","1","6","4","156","1","41","23","46","22","38","7","1","54","36","11","23","47","4","5","5","11","2","6"
"hsa-mir-205","1","1","7656","0","1","1","115","1","0","6121","3","0","0","2","23361","2","1","5","0","1","21129","2","30226","2","5","3","5","1","0","0","60","388","11","5","8","811","4321","1","626","0","15","19385","1","3","0","74","0","474","0","30786","1"
"hsa-mir-2052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-2053","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-2054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-206","1","1","4","0","0","1","9","2","6","3","0","13","11","2","33","1","3","2","0","2","0","4","8","0","0","6","0","0","0","73","3","0","0","0","1","1","0","2","1","0","10","4","0","0","0","0","0","1","0","0","2"
"hsa-mir-208a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-208b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-20a","1188","552","386","456","659","182","173","606","634","291","572","352","286","975","991","620","316","409","659","630","459","561","1025","580","657","627","1216","523","653","1723","726","1829","1645","1342","2426","576","919","1905","1216","673","937","1697","581","826","515","2216","1270","939","663","1393","857"
"hsa-mir-20b","154","86","9","127","351","23","15","23","35","14","73","26","20","46","30","21","27","61","88","29","12","34","27","221","161","53","13","36","12","8","36","762","8","41","31","16","10","10","17","172","36","84","27","287","44","6","20","31","12","6","9"
"hsa-mir-21","118143","329174","420895","121430","145349","74052","111872","300266","342442","73745","121567","338049","340748","762561","288714","379919","236470","262457","94514","300608","154932","222694","483479","293737","96593","417570","928465","667661","1000188","1188772","1072849","222340","816679","906659","821445","783715","1666149","1471132","910857","792112","591460","1143029","620994","1381145","1074053","1385870","763746","764231","455701","2202089","590803"
"hsa-mir-210","159","2869","376","192","386","21","48","829","1325","63","83","18","94","475","1155","322","15","2116","150","1700","1126","585","1128","2376","199","290","764","15","294","81","561","10031","1103","479","193","6109","783","74","27","4981","5959","1113","1890","3134","362","192","545","8228","651","5277","41"
"hsa-mir-211","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","1","17","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-2110","9","5","4","4","1","2","4","1","13","2","4","12","7","4","4","3","2","8","2","16","2","3","11","18","4","6","9","12","2","11","2","26","2","1","6","13","4","31","11","11","15","9","8","8","8","11","9","8","9","14","6"
"hsa-mir-2113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-2114","1","11","0","0","0","0","2","2","6","0","0","2","0","22","0","1","2","0","0","3","1","1","0","1","1","1","2","0","1","5","1","2","1","0","5","1","1","0","0","0","0","1","0","6","0","2","1","1","1","0","0"
"hsa-mir-2115","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","0","0","2","0","3","0","1","0","0","1","0","6","0","2","1","0","1","1","0","2","1"
"hsa-mir-2116","0","5","0","2","2","1","1","2","1","1","0","1","0","4","1","0","1","4","4","4","0","0","1","3","1","0","5","2","1","3","3","9","3","1","3","9","4","1","5","2","7","1","2","4","10","1","1","6","1","4","0"
"hsa-mir-2117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-212","5","24","12","6","4","14","25","20","17","14","5","40","24","91","6","8","20","24","7","29","8","32","30","16","4","19","42","61","23","38","7","28","20","15","100","33","22","195","58","4","63","30","9","26","54","39","12","103","13","32","30"
"hsa-mir-214","97","118","23","63","31","60","49","21","58","10","45","24","10","174","42","29","28","55","66","154","10","126","41","328","57","160","100","67","22","69","42","61","108","80","450","140","50","136","109","19","177","67","37","163","282","64","39","403","109","109","59"
"hsa-mir-215","1354","1168","121","1066","25","36","23","53291","14981","15","182","1290","502","8590","9","25167","130","19583","704","27663","16","20465","29","270","45","414","56559","2719","6545","24539","3781","39","831","18746","108101","1379","6257","199","14642","2367","21157","1127","3130","11891","1838","10147","6857","416","8911","21","8556"
"hsa-mir-216a","2","0","2","1","0","0","0","0","3","1","3","3","0","7","2","10","7","1","6","4","0","5","3","2","1","0","25","8","2","3","4","4","6","0","6","1","2","16","9","3","2","4","4","12","10","1","4","1","1","2","3"
"hsa-mir-216b","0","0","0","0","0","1","1","2","1","0","0","0","0","2","1","0","0","1","1","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","14","1","1","1","2","0","0","0"
"hsa-mir-217","168","16","134","48","42","15","32","203","76","6","54","51","15","256","100","206","62","62","135","61","9","81","101","31","59","69","587","184","67","108","125","112","108","68","336","68","95","318","176","20","57","202","120","383","295","92","234","85","126","47","126"
"hsa-mir-218-1","237","83","54","92","69","127","231","37","51","55","123","51","16","326","130","40","136","88","187","121","19","141","84","200","200","288","51","94","13","33","11","29","29","42","428","58","46","117","81","13","100","104","28","127","181","19","16","108","49","36","30"
"hsa-mir-218-2","220","76","38","108","77","131","227","37","51","53","134","40","14","277","100","49","101","78","164","142","22","145","99","201","177","241","56","102","9","35","8","30","22","44","383","41","34","93","88","7","91","96","25","120","184","30","19","113","58","32","33"
"hsa-mir-219a-1","1","8","8","4","1","1","3","13","13","7","0","5","5","24","14","9","3","9","4","14","18","7","25","10","3","10","12","9","12","25","7","27","8","7","20","4","13","7","16","10","5","23","15","14","4","16","9","13","6","39","4"
"hsa-mir-219a-2","0","1","0","0","0","1","0","0","1","0","0","0","1","8","0","0","0","0","0","2","1","0","1","0","0","2","1","0","0","0","1","0","0","0","1","0","2","2","0","0","2","2","0","0","2","1","0","2","0","1","0"
"hsa-mir-219b","0","2","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","3","0","4","0","1","3","3","2","1","3","8","2","2","0","3","4","2","0","1","6","1","1","3","3","2","2","0","2","2","0","3","2","1","0"
"hsa-mir-22","211579","187639","188808","249504","244212","102665","180927","212916","225725","55969","183062","73517","109900","523812","381811","160084","88018","254740","228745","277676","104054","266708","304553","793867","265372","255867","305606","178759","125812","152962","105884","162677","214406","280415","463948","261895","263231","227639","125479","206273","319310","428457","172439","257080","331797","273089","224856","285574","179824","339922","84616"
"hsa-mir-221","223","1363","692","111","57","148","362","1138","1148","586","75","1159","715","2637","1553","723","923","914","192","1091","859","1358","2026","341","70","1077","879","2244","1340","1785","4035","140","1161","1822","1788","3768","2725","1136","1886","558","1478","1713","763","5043","656","1545","834","3544","856","4753","846"
"hsa-mir-222","43","617","137","20","15","20","45","244","413","83","12","162","80","511","254","133","91","398","45","393","182","371","353","116","17","376","449","389","341","436","651","90","481","431","622","2000","576","211","453","175","663","391","194","1990","269","312","295","1537","193","1429","148"
"hsa-mir-223","1518","1257","422","696","117","173","113","247","1358","117","300","1515","530","858","377","365","679","664","1172","1310","178","1935","822","399","288","1594","4201","766","746","861","264","179","3656","1350","6630","7335","647","1200","438","856","3876","2384","608","6317","1860","1033","1308","4418","439","359","711"
"hsa-mir-224","38","24","97","23","27","22","20","61","41","99","23","14","6","29","232","36","6","51","52","140","182","85","401","43","22","46","274","23","15","22","22","29","25","75","48","28","54","31","19","1588","232","195","18","50","61","44","29","44","17","15","15"
"hsa-mir-2276","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","4","0","4","0","2","0","1","0","0","0","1","0","2","2","1","0"
"hsa-mir-2277","2","4","0","2","1","0","1","2","2","0","0","0","0","2","4","1","0","3","2","6","4","3","2","6","2","1","5","2","0","3","1","17","2","2","1","15","4","2","1","12","9","2","7","5","6","0","2","8","2","2","0"
"hsa-mir-2278","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0"
"hsa-mir-2355","54","120","71","73","145","62","56","88","76","39","119","48","29","452","158","49","44","116","97","123","69","240","168","289","149","287","180","132","104","53","44","173","110","253","630","167","105","66","60","178","245","108","50","300","249","43","82","193","369","65","99"
"hsa-mir-2392","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-23a","6619","9807","7560","7051","7251","10193","12531","5282","7631","5978","5760","4691","3007","18964","13180","5109","6021","8671","6881","8984","7129","12016","15394","33528","7446","11743","10270","12694","5368","10806","4937","8754","8956","6347","14137","14802","20898","11134","11647","5785","14565","11359","7700","14885","12957","12087","3750","19734","5692","21581","4859"
"hsa-mir-23b","10382","6175","6001","8010","10772","10217","9394","2903","4601","5349","8090","4295","2226","14516","14485","3545","5989","5135","9900","4705","5898","9882","15574","32886","10422","8981","4371","7054","4014","3462","1823","16286","2095","3243","7294","4085","7846","8344","7431","2813","5214","7971","2321","6197","8220","3724","2777","3849","2705","7588","2496"
"hsa-mir-23c","3","2","3","5","3","3","8","0","1","2","6","4","0","1","1","1","0","0","3","0","0","0","5","2","1","1","0","1","3","1","2","1","1","0","0","0","3","1","2","0","0","1","1","0","0","3","1","0","0","2","1"
"hsa-mir-24-1","2330","4086","1378","1440","1560","4927","5823","1172","2162","3326","1369","2867","1574","8944","3730","1044","2693","2515","1825","3730","1536","3896","4804","6389","1775","4214","3777","7088","1634","5514","1992","5667","4587","3021","7106","7513","4876","9296","6489","2273","6060","5493","1302","4053","4051","5348","2017","6866","2842","6865","4860"
"hsa-mir-24-2","2270","4016","1426","1425","1516","4862","5909","1159","2111","3372","1337","2844","1572","8953","3689","985","2749","2387","1840","3796","1540","3593","4657","6001","1689","4164","3821","7023","1710","5616","1967","5307","4764","3095","7234","7688","4948","9094","6449","2250","6099","5478","1375","4036","4092","5242","1954","7072","2952","6748","4897"
"hsa-mir-2467","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-25","14335","20185","7900","10318","10084","12349","9497","16244","23712","8163","13382","15685","10313","66996","17690","12427","14496","16588","13956","19192","7124","37002","23744","33985","13620","42201","49552","61379","21499","33828","22664","69063","27185","29898","77353","27200","16225","86906","45314","14003","28047","31090","12209","135401","34814","20227","14166","27074","24336","38662","17521"
"hsa-mir-2681","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","0","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-2682","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-26a-1","4783","11741","1801","2409","2341","8587","6889","3293","5534","3655","2233","9692","6099","19104","4064","2348","9514","5064","3046","8772","1258","7519","4270","9884","2867","10002","4410","6422","2161","5778","2344","1281","2010","4993","12425","3898","4861","5324","9649","2014","9177","4948","1250","10552","4345","3055","2041","10461","2258","3270","3430"
"hsa-mir-26a-2","4629","11822","1880","2374","2481","8556","7158","3206","5603","3432","2259","9975","6121","19407","4049","2345","9329","4838","3000","8748","1215","7717","4342","9811","2900","9959","4490","6496","2170","5814","2487","1317","2088","4907","12537","3931","4901","5430","9645","1971","9079","4963","1292","10533","4350","3047","2038","10820","2169","3331","3499"
"hsa-mir-26b","1732","13166","840","1771","1465","1935","2013","2666","6228","1026","1252","2068","1548","15688","2452","1167","2060","6875","1880","10191","754","7691","1870","8546","2092","9593","3886","2282","981","2777","789","1917","2388","4463","9128","6114","1670","1757","3085","3218","11819","3591","816","7053","4305","2251","3079","9271","2923","1561","1242"
"hsa-mir-27a","2716","9576","2970","2878","1848","4155","5559","3885","5540","4092","2257","2916","2596","13580","6394","2258","3063","4014","2489","10354","3775","6620","6833","11940","2681","8373","6573","5812","3587","10545","2981","3046","8483","4957","9552","10855","12320","7012","9230","3071","18054","9123","2851","8132","7455","6972","2993","27610","5396","10749","4774"
"hsa-mir-27b","10610","13309","5697","9797","6934","15447","14966","5257","7747","11618","8111","6014","2860","24609","18319","3974","8883","6409","8943","12323","7378","13737","17417","33294","11236","15476","5956","11078","6896","7920","2328","19876","5281","7262","12706","6758","10037","12392","15449","3754","13669","15135","2496","7952","10460","6019","6395","10825","6944","9492","6715"
