"","TCGA-DD-A3A1-11A-11R-A214-13","TCGA-EP-A12J-11A-11R-A130-13","TCGA-DD-A39V-11A-11R-A214-13","TCGA-DD-A11A-11A-11R-A130-13","TCGA-DD-A11C-11A-11R-A130-13","TCGA-DD-A116-11A-12R-A25G-13","TCGA-DD-A3A3-11A-11R-A22J-13","TCGA-BC-A10T-11A-11R-A130-13","TCGA-BC-A10W-11A-11R-A130-13","TCGA-DD-A119-11A-11R-A130-13","TCGA-BC-A10Y-11A-11R-A130-13","TCGA-DD-A11B-11A-11R-A130-13","TCGA-DD-A1EG-11A-11R-A214-13","TCGA-DD-A3A8-11A-11R-A22J-13","TCGA-DD-A3A4-11A-11R-A22J-13","TCGA-EP-A26S-11A-12R-A16S-13","TCGA-ES-A2HT-11A-11R-A17X-13","TCGA-FV-A2QR-11A-11R-A214-13","TCGA-DD-A1EL-11A-11R-A154-13","TCGA-DD-A1EH-11A-11R-A130-13","TCGA-BC-A10U-11A-11R-A130-13","TCGA-DD-A114-11A-12R-A130-13","TCGA-DD-A1EE-11A-11R-A130-13","TCGA-G3-A3CH-11A-11R-A22J-13","TCGA-DD-A1EI-11A-11R-A130-13","TCGA-BD-A2L6-11A-21R-A214-13","TCGA-EP-A3RK-11A-11R-A22J-13","TCGA-W5-AA2Q-11A-11R-A41D-13","TCGA-W5-AA2I-11A-11R-A41D-13","TCGA-ZU-A8S4-11A-11R-A41D-13","TCGA-W5-AA31-11A-11R-A41D-13","TCGA-W5-AA30-11A-11R-A41D-13","TCGA-EP-A12J-01A-11R-A130-13","TCGA-EP-A3RK-01A-11R-A22J-13","TCGA-DD-A1EH-01A-11R-A130-13","TCGA-DD-A3A8-01A-11R-A22J-13","TCGA-DD-A3A4-01A-11R-A22J-13","TCGA-EP-A26S-01A-11R-A16S-13","TCGA-DD-A114-01A-11R-A130-13","TCGA-DD-A119-01A-11R-A130-13","TCGA-BC-A10W-01A-11R-A130-13","TCGA-DD-A1EG-01A-11R-A214-13","TCGA-DD-A3A3-01A-11R-A22J-13","TCGA-DD-A11B-01A-11R-A130-13","TCGA-DD-A116-01A-11R-A130-13","TCGA-DD-A11A-01A-11R-A130-13","TCGA-BC-A10Y-01A-11R-A130-13","TCGA-BC-A10T-01A-11R-A130-13","TCGA-BD-A2L6-01A-11R-A214-13","TCGA-DD-A39V-01A-11R-A214-13","TCGA-DD-A3A1-01A-11R-A214-13","TCGA-FV-A2QR-01A-11R-A214-13","TCGA-DD-A1EE-01A-11R-A130-13","TCGA-G3-A3CH-01A-11R-A22J-13","TCGA-ES-A2HT-01A-12R-A17X-13","TCGA-DD-A1EL-01A-11R-A154-13","TCGA-DD-A11C-01A-11R-A130-13","TCGA-BC-A10U-01A-11R-A130-13","TCGA-DD-A1EI-01A-11R-A130-13","TCGA-ZU-A8S4-01A-11R-A41D-13","TCGA-W5-AA2Q-01A-11R-A41D-13","TCGA-W5-AA30-01A-31R-A41D-13","TCGA-W5-AA31-01A-11R-A41D-13","TCGA-W5-AA2I-01A-32R-A41D-13"
"hsa-mir-2116","2","2","5","1","4","1","5","13","4","6","0","13","4","5","1","5","1","2","0","1","15","8","6","1","3","8","5","2","2","3","3","5","1","2","8","1","1","1","4","3","5","15","4","7","3","6","10","2","8","3","2","5","0","5","4","0","3","2","0","4","2","4","2","3"
"hsa-mir-2117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-212","13","59","19","28","2","4","39","58","17","13","35","48","12","7","14","24","19","76","15","20","21","62","26","18","13","36","24","23","7","10","9","11","20","14","34","4","5","9","93","54","52","65","41","5","24","20","10","31","11","55","11","90","26","25","19","14","3","9","56","20","11","9","12","26"
"hsa-mir-214","352","306","124","180","55","94","490","210","109","81","255","278","161","73","129","237","119","721","178","202","235","211","145","140","122","294","179","195","67","191","57","234","7","28","106","7","4","41","552","78","18","157","7","13","63","9","10","142","37","47","2","125","3","143","75","0","5","3","131","85","241","329","136","838"
"hsa-mir-215","373","14955","366","660","631","202","768","3157","1109","1260","1002","2140","854","386","205","688","1631","505","669","1559","1440","15915","2241","956","987","168","579","293","213","273","242","414","5411","59","1587","172","4221","125","453","2816","3915","1339","1642","2003","1323","2148","3150","1934","379","300","192","562","926","1518","1294","97","974","510","312","185","157","69","89","313"
"hsa-mir-216a","11","60","21","9","13","8","34","23","11","4","8","45","150","23","4","4","12","30","26","10","89","54","36","16","5","123","105","60","20","235","14","12","0","239","11","0","3","0","51","17","1","107","1","56","9","192","373","2170","555","3","1054","2436","0","73","15","14","305","72","430","0","3","20","56","3"
"hsa-mir-216b","8","79","12","9","8","8","15","33","14","4","10","36","84","16","1","10","18","16","21","13","59","45","40","21","7","127","62","45","19","198","9","14","0","211","5","0","0","0","27","2","3","112","0","36","5","142","402","1474","820","4","636","1740","1","60","4","10","143","46","311","0","0","40","5","3"
"hsa-mir-217","928","1732","804","419","358","409","1357","411","344","121","416","959","6719","745","277","364","635","1530","851","375","1386","1062","987","707","143","6626","4553","2187","1019","8024","437","734","17","15225","305","28","16","18","1597","367","19","6043","36","2426","108","6922","16222","47231","34425","124","52598","80795","44","5278","391","503","7510","1861","18561","61","104","1468","2522","225"
"hsa-mir-218-1","90","113","53","49","24","33","122","83","50","25","68","99","83","38","45","44","30","272","71","59","93","107","83","64","31","78","81","75","19","71","30","84","10","23","67","3","4","71","442","73","28","153","15","32","42","14","18","136","25","38","9","97","25","138","48","22","9","11","114","321","108","160","177","2039"
"hsa-mir-218-2","102","103","49","51","28","26","126","77","48","25","75","88","76","35","45","47","37","240","48","68","96","80","74","54","43","90","59","66","14","75","28","75","10","26","61","5","5","52","425","82","23","145","12","29","25","10","6","114","23","40","7","92","19","120","33","18","7","13","119","310","86","174","203","1841"
"hsa-mir-219a-1","35","28","40","25","17","21","24","21","23","25","23","20","29","16","29","24","19","24","24","30","12","21","26","12","11","21","34","28","10","41","13","11","24","5","62","13","6","45","43","20","28","25","7","34","5","49","52","10","65","30","29","34","28","25","12","16","32","17","18","9","7","13","8","33"
"hsa-mir-219a-2","0","6","5","0","1","0","6","1","1","2","2","0","0","2","1","1","0","1","2","4","3","3","5","1","0","1","0","1","0","0","0","0","1","0","4","0","1","0","2","4","1","1","2","0","0","1","6","0","0","0","0","2","0","2","2","0","0","1","0","0","2","0","0","0"
"hsa-mir-219b","0","1","3","1","0","3","1","1","0","1","0","0","1","2","0","2","2","2","0","0","2","3","0","3","0","1","0","3","0","2","2","1","0","1","3","2","0","1","7","0","2","4","3","1","2","1","0","0","3","2","2","2","1","4","1","1","0","1","4","1","0","1","1","1"
"hsa-mir-22","890600","1234228","1651050","758823","474669","1128613","710290","1180353","1059463","1092093","779453","1260656","1558109","1256143","615313","1009021","698925","1328359","940735","1350514","1134796","990053","1060865","1218363","583024","837858","1353608","1269351","578754","1984632","1007500","885002","573932","561125","284304","525522","290577","888306","1036036","549525","601976","719041","293724","1836300","406471","701557","354866","1432915","322490","1120441","1401603","1067850","680781","584690","686205","140704","246214","414423","442010","568859","278306","287791","573028","731633"
"hsa-mir-221","412","849","225","278","81","196","455","357","193","191","262","519","312","208","186","283","194","695","166","309","328","1106","431","353","232","736","174","348","76","247","125","266","1307","373","1924","327","484","409","2532","437","409","821","554","281","536","144","160","212","505","878","425","804","578","415","220","319","77","400","915","1630","270","457","350","1688"
"hsa-mir-222","90","243","47","67","24","48","117","80","89","50","74","136","72","41","39","70","63","202","58","78","101","359","138","102","53","214","47","64","13","50","21","74","208","98","335","64","111","102","495","108","187","216","101","61","172","24","43","38","195","176","80","153","163","111","79","98","12","70","189","390","65","171","82","431"
"hsa-mir-223","1375","1068","1570","1493","571","545","1157","1365","828","827","997","917","1244","787","655","5783","436","5467","654","1068","1255","1703","738","1041","441","3128","1531","1319","234","1799","1118","1305","179","587","497","143","32","134","3299","299","635","836","276","231","239","373","164","832","401","543","2316","2059","182","547","135","203","218","331","1215","3815","655","2209","3101","980"
"hsa-mir-224","414","108","355","417","16","200","138","61","88","270","61","258","80","203","50","140","43","556","25","60","76","200","230","101","87","331","64","161","50","242","141","76","678","780","793","258","8","73","5250","693","72","1575","1983","582","753","60","296","1012","1752","934","598","2213","22","46","37","743","16","1456","47","238","216","158","671","216"
"hsa-mir-2276","3","2","0","0","1","2","1","1","0","1","0","2","0","1","0","2","0","0","1","1","1","2","1","1","3","1","1","0","0","1","2","4","0","1","1","0","4","0","1","0","10","3","1","2","0","0","1","0","2","0","1","1","0","1","0","0","2","0","1","0","1","1","0","2"
"hsa-mir-2277","8","4","4","1","1","4","5","9","5","3","4","6","3","3","0","5","2","5","3","3","1","11","3","2","2","5","2","3","1","3","0","4","3","0","2","0","2","3","11","4","12","5","1","6","3","5","5","2","4","5","1","6","2","2","2","4","2","3","2","4","3","8","5","6"
"hsa-mir-2278","0","2","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"hsa-mir-2355","260","105","305","175","61","160","367","293","98","84","191","212","216","166","129","236","83","438","96","187","146","132","108","345","72","253","245","160","48","159","114","177","55","187","136","53","52","45","288","100","159","381","69","106","117","271","215","88","85","442","210","132","43","504","47","82","32","70","226","170","158","220","91","152"
"hsa-mir-2392","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-23a","10974","18689","6498","9329","3069","5150","15030","9078","5135","5574","10751","13022","8132","5223","5807","7664","6990","22055","5928","7912","8911","11675","8303","6869","5748","12625","6277","10543","2396","10516","5058","11242","4500","5135","11007","2412","3435","5965","29843","8509","9401","19352","3395","3074","6912","3152","4340","7030","5594","11215","17171","17624","3425","12528","6309","3507","1948","3570","9625","22741","34887","20806","27408","33682"
"hsa-mir-23b","10144","12212","12795","10144","5602","6642","13248","16138","8574","7909","9694","15213","11822","9879","5572","8922","4278","13408","7831","11954","14258","7190","10194","9162","8164","10967","11419","12561","4740","16687","9646","9997","6228","1787","14922","5835","1370","12693","14075","6661","6413","14203","6466","7088","4227","5493","5751","5058","10772","10366","11692","12011","7224","12267","3799","3246","3409","2061","8859","3525","5192","4210","5785","8926"
"hsa-mir-23c","5","3","6","16","1","0","5","7","12","17","16","0","9","1","0","1","0","6","1","16","21","3","17","1","0","5","0","12","2","15","7","7","3","0","0","0","0","1","2","1","3","2","1","1","1","1","0","0","0","0","2","2","1","7","2","0","3","2","0","0","0","2","2","6"
"hsa-mir-24-1","4165","6072","4072","4134","2462","1598","4334","7516","3609","3249","4253","5569","4057","2584","1928","5217","1940","6827","3243","6050","8921","6519","3800","3890","3043","6854","3366","3460","1147","3746","1597","2279","2443","1315","6606","1194","895","4347","8724","3352","3598","5861","2863","3072","2310","2555","2586","5443","2851","3439","4358","7539","2370","4695","1653","1374","1755","1808","6369","3351","3655","2747","3535","7439"
"hsa-mir-24-2","3812","5658","3893","3945","2199","1486","4094","6647","3123","2909","4133","5231","3835","2364","1814","4883","2005","6663","2995","5499","7877","6206","3630","3514","2620","6763","3080","3361","1012","3531","1452","2046","2406","1273","6317","1111","907","4144","9030","3344","3588","5872","2894","2975","2212","2482","2482","5173","2696","3410","4281","7536","2159","4378","1531","1317","1601","1795","6238","3551","3669","2727","3484","7467"
"hsa-mir-2467","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"hsa-mir-25","49502","29963","37665","29329","12203","24284","82848","31475","22321","18437","29527","27990","37299","27255","30300","40527","20997","73727","24118","31962","31184","26675","28137","31080","22073","58342","36486","21886","8102","20817","16662","23137","36483","29692","104704","16553","11247","46482","139172","28747","29401","59102","21903","54445","29142","78452","39078","37598","50372","56131","45235","42230","49432","64902","12239","11519","54467","46467","95847","17108","24694","44513","19529","80435"
"hsa-mir-2681","0","3","0","1","0","0","2","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","3","0","0","0","2","1","0","1","0","1","1","0","0","0","0","0","0","0","2","5","0","0","0","0","0","0","3","0","5","0","0","0","2","0","0","6","1","0","0","0","0","0"
"hsa-mir-2682","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0"
"hsa-mir-26a-1","12646","26325","6200","8866","4523","3321","22973","21093","6175","6272","16515","16179","8989","4085","5757","16487","5225","15302","7339","15747","16527","23850","11717","7988","7095","12239","7837","8445","1619","7233","2641","7069","21141","2341","13819","1839","3237","12736","18460","5674","6983","7632","2722","9982","9762","7583","9390","10255","2587","3804","4511","5259","3504","9968","3061","1073","3796","3295","6354","2905","7165","5095","3631","11880"
"hsa-mir-26a-2","12692","26136","6263","8881","4470","3375","23023","21262","6301","6228","16189","15991","9108","4214","5788","16700","5169","15416","7676","15595","16517","23943","11632","8054","7093","12291","8167","8689","1657","7447","2665","7151","21070","2346","13868","1821","3195","12956","17973","5833","6920","7528","2706","9941","9713","7631","9372","10448","2532","3953","4527","5293","3556","10048","3103","1028","3886","3405","6385","2909","7227","5166","3637","12002"
"hsa-mir-26b","14500","13724","7757","11442","6966","3915","24837","21805","8035","10326","12832","14428","8295","4746","5370","22680","2747","14257","9812","20263","25440","15675","12478","9321","9580","7997","9431","5877","2121","6225","3150","6678","6362","2219","11918","2276","1981","23656","6628","3065","3601","5368","2434","10481","7015","5222","5404","6977","3733","2849","9461","9233","4191","7260","2233","2075","7780","5902","4389","1561","5366","4542","1447","5740"
"hsa-mir-27a","7114","6813","2740","3892","1576","1455","9306","4807","2564","2328","4524","5939","3945","1962","2290","3811","2915","13326","2192","4257","6028","6369","3753","3379","2770","5622","2907","3282","573","3006","1258","2892","1442","2547","4642","687","1505","2356","9424","2796","3434","9729","1602","1253","3140","1466","1326","3647","1903","4008","9768","10670","1191","4918","2314","897","718","1414","4208","9108","9845","7162","9302","13569"
"hsa-mir-27b","21342","17206","22598","15943","11725","8034","24981","31422","15079","13960","13512","23699","17628","13973","8005","17645","5886","25592","10411","24132","39840","13066","17354","15881","14820","14789","20950","16533","5788","21239","10421","11754","5889","2831","27496","3883","1556","17131","16485","7259","9006","17612","8423","11247","5565","8495","9375","11134","10708","11516","22974","24170","6969","17106","3799","3632","5607","3060","11606","4243","5249","5363","6692","13548"
"hsa-mir-28","32939","33974","27057","24191","12169","14804","51608","39669","21860","22465","31926","24543","28373","20818","20683","35358","11740","41073","19025","37329","30495","24690","27499","27350","14932","35293","27852","20476","7491","20487","13104","24070","26831","10541","31558","8106","11118","10786","61949","22583","20237","28896","6490","20358","10252","30178","37968","22027","30383","12528","19118","25587","19431","44380","5941","12725","36629","24813","32177","15254","8025","15515","9481","20661"
"hsa-mir-2861","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-2909","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-296","20","12","19","55","11","11","32","17","12","20","12","27","10","7","27","18","5","36","7","8","37","32","36","12","12","36","21","15","3","15","6","19","0","2","46","1","2","2","27","27","5","10","38","11","44","11","5","7","12","3","7","11","2","21","6","9","85","3","55","16","49","4","41","33"
"hsa-mir-297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-298","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-299","45","28","30","25","27","15","43","45","23","24","33","23","22","11","36","35","19","81","15","45","65","24","22","16","21","45","33","41","3","36","13","38","5","3","54","0","1","10","46","12","9","15","5","3","7","2","3","29","6","9","4","7","15","8","8","1","2","12","25","87","7","8","210","63"
"hsa-mir-29a","95451","88230","47564","55562","27237","24496","131180","92634","34201","36958","84951","77993","61033","32608","34913","82640","27520","115681","34235","85894","106878","100174","64355","45213","29782","106133","49562","53747","8691","37427","16616","40486","65277","23179","17292","17436","35165","68225","126800","39965","34931","66438","54549","14941","58589","39849","16623","48176","13074","34176","117447","73938","61176","64289","20610","5792","28711","52364","42334","31399","25471","20982","17257","41775"
