"","TCGA-DD-A1EC-11A-11R-A130-13","TCGA-DD-A118-11A-11R-A130-13","TCGA-BC-A10R-11A-11R-A130-13","TCGA-BD-A3EP-11A-12R-A22J-13","TCGA-FV-A23B-11A-11R-A16S-13","TCGA-DD-A3A6-11A-11R-A22J-13","TCGA-BC-A10X-11A-11R-A130-13","TCGA-DD-A3A2-11A-11R-A214-13","TCGA-DD-A39Z-11A-21R-A214-13","TCGA-FV-A3I0-11A-11R-A22J-13","TCGA-BC-A10Z-11A-11R-A130-13","TCGA-DD-A113-11A-12R-A130-13","TCGA-DD-A1EJ-11A-11R-A154-13","TCGA-DD-A3A5-11A-11R-A22J-13","TCGA-DD-A1EB-11A-11R-A130-13","TCGA-DD-A39W-11A-11R-A214-13","TCGA-BC-A10Q-11A-11R-A130-13","TCGA-FV-A3I1-11A-11R-A22J-13","TCGA-DD-A39X-11A-11R-A214-13","TCGA-BC-A216-11A-11R-A154-13","TCGA-BC-A110-11A-11R-A130-13","TCGA-DD-A11D-11A-12R-A130-13","TCGA-W5-AA34-11A-11R-A41D-13","TCGA-W5-AA2U-11A-11R-A41D-13","TCGA-W5-AA2R-11A-11R-A41D-13","TCGA-FV-A3I0-01A-11R-A22J-13","TCGA-BC-A216-01A-11R-A154-13","TCGA-FV-A3I1-01A-11R-A22J-13","TCGA-DD-A39Z-01A-11R-A214-13","TCGA-DD-A1EJ-01A-11R-A154-13","TCGA-DD-A3A2-01A-11R-A214-13","TCGA-DD-A113-01A-11R-A130-13","TCGA-BD-A3EP-01A-11R-A22J-13","TCGA-DD-A11D-01A-11R-A130-13","TCGA-BC-A110-01A-11R-A130-13","TCGA-DD-A118-01A-11R-A130-13","TCGA-FV-A23B-01A-11R-A16S-13","TCGA-DD-A39X-01A-11R-A214-13","TCGA-DD-A3A6-01A-11R-A22J-13","TCGA-BC-A10Z-01A-11R-A130-13","TCGA-DD-A1EC-01A-21R-A130-13","TCGA-BC-A10R-01A-11R-A130-13","TCGA-DD-A3A5-01A-11R-A22J-13","TCGA-DD-A39W-01A-11R-A214-13","TCGA-BC-A10Q-01A-11R-A130-13","TCGA-BC-A10X-01A-11R-A130-13","TCGA-DD-A1EB-01A-11R-A130-13","TCGA-W5-AA34-01A-11R-A41D-13","TCGA-W5-AA2R-01A-11R-A41D-13","TCGA-W5-AA2U-01A-11R-A41D-13"
"hsa-mir-29a","124761","65891","50470","29915","67550","27636","70626","59798","74668","55908","101532","34158","62612","21227","98210","76166","47197","72734","74495","39650","93703","72760","16117","34475","29485","291943","13663","43124","80741","18380","9657","25305","73886","78174","142001","20337","8771","23433","61692","39958","141757","76711","47699","106131","163202","62527","73979","28206","45512","47442"
"hsa-mir-29b-1","2617","1804","1674","1297","3135","754","1461","1442","1202","1744","2051","895","2616","661","2610","1717","1208","2347","2336","1745","2039","1965","1098","2078","1821","9762","758","1860","1372","1511","331","361","2562","1992","1659","183","301","1084","2080","665","4627","967","1096","3933","2242","1626","2820","915","2470","2713"
"hsa-mir-29b-2","2681","1890","1651","1313","3223","774","1592","1615","1337","1856","2117","963","2708","705","2793","1839","1229","2563","2369","1820","2025","1985","1179","2088","1858","10128","798","2171","1437","1507","348","455","2699","2144","1813","163","365","1100","2807","743","4516","997","1159","4274","2232","1798","3041","1034","2578","2808"
"hsa-mir-29c","37223","20321","17427","11282","25591","10476","21633","19026","19309","27075","30708","12226","17528","9160","31693","23984","15592","25211","26184","15466","34445","23407","6444","11815","12376","27131","6230","10531","13664","1158","2716","4497","23590","23632","33506","2436","1452","4923","47539","4833","36612","19759","9885","24362","5825","18040","34815","5864","12139","7254"
"hsa-mir-300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-301a","45","25","16","8","40","15","25","20","20","15","20","8","27","8","20","29","16","15","17","37","27","30","11","11","12","72","74","43","26","66","12","12","69","13","36","4","29","27","121","29","23","3","28","75","60","26","30","34","26","55"
"hsa-mir-301b","10","0","2","2","2","3","8","2","0","4","1","3","9","1","5","3","2","1","1","13","3","11","2","0","3","17","10","28","4","23","2","3","2","6","7","1","2","3","2","26","2","1","3","13","4","3","10","1","1","5"
"hsa-mir-302a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-302b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-302c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-302d","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-302e","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-302f","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3064","4","1","1","0","2","1","1","3","1","2","2","1","3","1","0","2","1","2","0","5","2","3","1","0","1","3","0","1","0","1","1","1","4","0","3","0","0","2","4","1","2","0","3","5","7","0","3","1","1","1"
"hsa-mir-3065","172","395","789","112","413","205","283","132","188","335","160","158","356","255","317","247","651","138","293","461","259","222","624","105","483","125","1449","22","620","120","1307","1312","134","56","172","514","16","65","2551","30","1894","48","194","649","1318","221","3633","37","38","200"
"hsa-mir-3074","41","29","12","9","26","25","18","31","31","19","16","4","18","13","44","28","18","22","25","20","24","10","12","9","10","24","78","13","29","21","6","7","20","6","25","20","37","13","32","48","57","12","45","48","31","22","24","12","11","15"
"hsa-mir-30a","236750","244429","138653","93495","289662","108095","140194","132908","129170","157056","171631","78937","142094","82951","257900","147702","122128","136114","135565","196366","219382","123028","116309","103415","141630","2503079","27720","68041","46875","20390","8085","28024","81689","77373","360616","42974","23795","106751","416810","19375","59251","305411","87081","34433","1288230","123620","51339","137916","459513","427659"
"hsa-mir-30b","9838","5734","2278","1987","5428","3649","4810","5492","4990","7930","6850","2598","4588","2344","5683","7109","3392","4754","4378","4029","7467","3691","1030","2818","3010","20042","4397","2222","4070","1134","466","2240","2572","1596","6155","1575","865","5888","5930","1531","2096","3063","1614","1407","5976","2210","1573","9116","6601","7048"
"hsa-mir-30c-1","3880","3246","1159","1254","2896","1867","2732","2423","3379","3208","1991","1561","2506","1351","2842","3346","1773","2261","2540","2629","2895","2109","944","1610","2170","11289","2792","944","1030","2116","380","1003","1359","650","2913","875","487","795","5498","1040","715","1907","1538","2253","5215","1426","749","2915","1796","2400"
"hsa-mir-30c-2","4625","4065","1526","1492","3644","2208","3089","2766","3700","3597","2345","1749","2996","1528","3548","3832","2117","2582","2828","3601","3370","2338","1276","1843","2663","12903","2765","1035","1101","2144","333","967","1636","759","3974","930","499","920","6752","1088","758","2872","1809","2306","6562","1629","799","3260","2469","2851"
"hsa-mir-30d","78576","43305","35371","25593","62955","33390","34494","38024","62039","50519","40206","20258","45436","20267","63359","38640","30721","33709","39590","37065","37533","28008","23006","45098","53536","223371","24603","65880","79330","18282","12613","59530","43614","31139","70995","106139","27774","190337","30849","41789","68132","82896","47626","34492","154638","35994","35607","108539","134594","175137"
"hsa-mir-30e","274307","297457","162791","80057","177801","103714","141675","122493","97343","147084","133082","95225","144476","72843","331932","133042","174335","163015","161274","155199","258441","161776","89573","104231","127056","90924","143513","51027","81277","117196","34247","71697","50484","101394","233288","107962","54167","40991","153982","92673","138819","252118","102640","100910","152379","122193","127914","64490","43281","46579"
"hsa-mir-31","3","0","0","1","12","1","2","0","0","2","5","2","4","0","6","1","0","1","2","1","2","8","0","2","0","2","66","0","0","0","1","2","10","0","2","0","1","2","0","0","2","1","0","2","7","2","1","0","2","6"
"hsa-mir-3115","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3116-1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"hsa-mir-3116-2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-3117","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","2","1","1","1","0","0","1","5","1","2","0","0","0","1","2","1","3","0","0","0","1","1","0","0","2","0","0","1","3","1","1","6"
"hsa-mir-3118-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3118-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3118-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3118-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3119-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3119-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3124","1","0","1","1","0","1","1","1","0","3","0","0","0","1","2","0","0","2","0","2","2","2","0","0","0","1","0","0","0","2","0","0","2","0","1","0","0","0","1","0","0","0","2","3","0","1","0","0","0","0"
"hsa-mir-3125","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"hsa-mir-3126","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-3127","23","6","13","7","9","5","4","5","11","8","9","7","7","5","6","7","4","10","5","13","5","8","4","1","10","70","13","27","10","21","8","16","14","6","15","19","5","8","20","27","27","26","26","7","38","13","23","10","3","48"
"hsa-mir-3128","1","2","0","0","0","0","1","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0"
"hsa-mir-3129","2","3","2","0","0","1","3","1","0","2","1","0","0","0","5","3","0","0","1","1","0","2","0","2","1","2","1","2","2","0","1","0","0","2","0","1","0","2","2","0","0","4","2","1","0","1","3","0","2","2"
"hsa-mir-3130-1","29","41","24","17","16","7","7","17","26","18","39","17","10","9","27","13","24","9","20","23","35","46","7","12","6","30","10","1","22","3","4","16","8","43","32","77","14","33","12","23","19","55","28","27","21","4","68","4","7","15"
"hsa-mir-3130-2","30","44","18","14","19","8","2","14","32","24","36","26","14","10","32","17","21","15","35","22","44","33","13","10","3","21","8","2","15","1","4","7","7","44","51","56","14","27","16","21","33","58","35","21","32","0","56","6","9","17"
"hsa-mir-3131","0","1","3","0","0","0","0","0","0","0","0","3","0","0","3","0","2","0","0","1","0","0","1","0","0","0","3","1","0","8","0","0","0","5","0","18","0","15","0","0","0","4","0","10","2","1","1","2","1","1"
"hsa-mir-3132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"hsa-mir-3133","0","0","0","0","1","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0"
"hsa-mir-3134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3135a","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3135b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3136","1","0","0","3","1","3","2","3","2","3","1","0","2","1","1","2","2","2","1","0","5","7","0","0","0","2","1","3","0","0","0","3","0","0","4","1","1","2","1","0","1","3","1","3","1","2","7","1","0","1"
"hsa-mir-3137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3138","0","0","0","0","1","0","0","0","2","0","0","0","0","0","6","1","0","0","2","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","2","1","0","0","1","0","0","0","0","2","0","0","0","0","0","1"
"hsa-mir-3139","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0"
"hsa-mir-3140","2","4","0","1","0","1","2","0","2","1","0","0","1","1","3","1","1","2","2","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","2","4","2","0","1","0","0","0","0"
"hsa-mir-3141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-3144","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0","3","1","2","4","2","4","8","0","0","0","2","0","5","36","0","0","0","0","0","0","0"
"hsa-mir-3145","3","1","1","3","3","1","2","2","0","4","0","1","0","2","6","4","4","3","0","0","3","1","0","2","2","0","0","2","0","3","0","0","1","1","0","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0"
"hsa-mir-3146","0","2","0","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"hsa-mir-3147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"hsa-mir-3149","0","1","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-3150a","0","2","0","0","0","0","0","1","1","2","0","0","0","0","2","0","0","1","0","1","2","1","0","0","0","0","3","2","2","1","1","0","0","0","0","0","0","1","0","0","0","3","0","0","0","3","1","0","0","1"
"hsa-mir-3150b","3","1","2","4","4","0","4","1","1","5","3","0","1","1","2","0","2","1","3","2","5","5","0","2","0","6","1","1","1","0","1","1","7","0","6","1","0","1","7","0","2","5","0","0","4","2","11","4","0","1"
